Configuration:
  Dataset:
    path: /workspace/financebench
    filter_numerical: true
    samples: all

  Models:
    local: meta-llama/Llama-3.1-8B-Instruct (temp=0.2, ctx=4096)
    remote: gpt-4o (temp=0.0)

  Protocols: minions
    max_rounds: 3
    num_samples_per_task: 1

  MINIONS Settings:
    num_tasks_per_round: 12
    chunk_fn: chunk_by_section
    max_chunk_size: 3000

  Global:
    output_dir: evaluate/results
    skip_accuracy: true
    use_cache: true
    git_auto_commit: true

Total runtime: 4h 40m 27.2s

================================================================================
PER-QUERY DETAILS
================================================================================

MINIONS:
--------------------------------------------------------------------------------
Sample ID                                     Cost ($)     Input Tok    Output Tok  
--------------------------------------------------------------------------------
financebench_open_source_line_3               0.0287       6999         1117        
financebench_open_source_line_4               0.0713       23860        1161        
financebench_open_source_line_6               0.0770       21234        2388        
financebench_open_source_line_9               0.0862       25516        2236        
financebench_open_source_line_10              0.1403       51334        1195        
financebench_open_source_line_11              0.0667       18572        2025        
financebench_open_source_line_12              0.0574       11141        2950        
financebench_open_source_line_13              0.0179       3653         879         
financebench_open_source_line_14              0.0412       11193        1320        
financebench_open_source_line_17              0.0333       9473         962         
financebench_open_source_line_18              0.0289       7376         1050        
financebench_open_source_line_19              0.1629       51163        3496        
financebench_open_source_line_20              0.0450       14520        870         
financebench_open_source_line_24              0.0802       27528        1134        
financebench_open_source_line_27              0.0420       13082        925         
financebench_open_source_line_31              0.1276       41097        2485        
financebench_open_source_line_32              0.0808       22911        2354        
financebench_open_source_line_35              0.1688       56108        2852        
financebench_open_source_line_36              0.0603       20335        951         
financebench_open_source_line_41              0.2621       91958        3222        
financebench_open_source_line_42              0.0343       9263         1110        
financebench_open_source_line_43              0.0200       4592         854         
financebench_open_source_line_47              0.0649       18656        1821        
financebench_open_source_line_48              0.0214       5275         822         
financebench_open_source_line_49              0.0803       23200        2232        
financebench_open_source_line_51              0.0238       5826         923         
financebench_open_source_line_53              0.0464       15270        826         
financebench_open_source_line_57              0.0739       18813        2684        
financebench_open_source_line_58              0.0179       3684         873         
financebench_open_source_line_61              0.0323       9836         774         
financebench_open_source_line_63              0.2154       75188        2739        
financebench_open_source_line_68              0.1216       40258        2094        
financebench_open_source_line_69              0.0250       5969         1008        
financebench_open_source_line_70              0.0665       18661        1982        
financebench_open_source_line_71              0.1736       59250        2545        
financebench_open_source_line_72              0.0890       30926        1164        
financebench_open_source_line_73              0.0947       30507        1844        
financebench_open_source_line_74              0.0934       25835        2886        
financebench_open_source_line_76              0.1475       43691        3824        
financebench_open_source_line_77              0.0333       8006         1324        
financebench_open_source_line_82              0.2331       85680        1889        
financebench_open_source_line_83              0.0918       29511        1804        
financebench_open_source_line_84              0.0201       4423         901         
financebench_open_source_line_85              0.0697       18751        2284        
financebench_open_source_line_86              0.0558       15468        1713        
financebench_open_source_line_87              0.0282       6656         1152        
financebench_open_source_line_88              0.0759       21386        2245        
financebench_open_source_line_97              0.4120       152215       3149        
financebench_open_source_line_100             0.0243       5436         1075        
financebench_open_source_line_101             0.0203       3978         1036        
financebench_open_source_line_102             0.0179       3992         789         
financebench_open_source_line_103             0.0822       29353        886         
financebench_open_source_line_105             0.1201       33018        3753        
financebench_open_source_line_112             0.0256       6186         1017        
financebench_open_source_line_113             0.0811       20819        2908        
financebench_open_source_line_115             0.0202       4515         894         
financebench_open_source_line_117             0.0252       6119         993         
financebench_open_source_line_118             0.0233       5207         1032        
financebench_open_source_line_119             0.0731       21069        2040        
financebench_open_source_line_124             0.1217       39230        2365        
financebench_open_source_line_125             0.0226       4590         1112        
financebench_open_source_line_145             0.1429       47948        2306        
financebench_open_source_line_146             0.0229       5889         821         
financebench_open_source_line_147             0.0261       6646         951         
financebench_open_source_line_148             0.2057       72606        2421        
financebench_open_source_line_149             0.0738       22085        1854        
financebench_open_source_line_150             0.1148       32493        3359        

================================================================================
EVALUATION SUMMARY
================================================================================
Protocol        Avg Cost ($)    Input Tokens (1k)  Output Tokens (1k)
--------------------------------------------------------------------------------
minions         0.0804          25.18              1.74              
================================================================================

Accuracy rate: 68.66% (46/67 correct, remote verdict with gpt-4o)
